i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_0_16S	2	1	1	0	1	1	1	2	2	1	3	3	1	0	3	1
OTU_100002_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100008_16S	1	2	0	1	0	1	0	1	0	1	0	0	0	0	0	1
OTU_10001_16S	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0
OTU_100014_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100025_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100027_16S	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
OTU_100031_16S	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100042_16S	0	1	0	0	1	2	0	1	0	1	1	0	1	0	0	2
OTU_100048_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10005_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10007_16S	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
OTU_100074_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100084_16S	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_100089_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100099_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10010_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100110_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10012_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100121_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100124_16S	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1
OTU_100147_16S	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_100149_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100153_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100156_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100164_16S	14	6	29	15	7	12	10	10	9	6	6	11	12	16	3	7
OTU_100165_16S	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_100172_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100181_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100187_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100202_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100207_16S	2	1	1	2	0	1	2	1	1	0	1	0	0	2	1	0
OTU_100208_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_100210_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100226_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_10023_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_100246_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100252_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_10026_16S	11	4	8	6	14	12	20	13	11	8	7	14	9	13	11	12
OTU_100267_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU_100273_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10028_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100281_16S	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100291_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100294_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100295_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100297_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10031_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100318_16S	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU_100321_16S	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
OTU_100328_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100354_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100359_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10036_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100363_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100365_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100369_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100390_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100397_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100404_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100407_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_100423_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100424_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100435_16S	2	0	2	1	2	1	2	0	0	1	0	0	2	0	2	0
OTU_10044_16S	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
OTU_100441_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100444_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100446_16S	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU_100457_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100461_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100464_16S	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU_100467_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_100474_16S	0	2	0	1	3	3	1	0	2	1	0	0	1	2	1	1
OTU_100484_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100486_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100494_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_100502_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_100507_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100509_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100521_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100522_16S	2	3	2	3	5	1	1	2	2	0	1	3	1	0	2	1
OTU_100530_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_100541_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_100542_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_10057_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_100583_16S	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
OTU_100588_16S	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
OTU_100590_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100591_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_100596_16S	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_100598_16S	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU_10060_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100633_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_100638_16S	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
OTU_100656_16S	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
OTU_100660_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_100666_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10067_16S	1	1	1	0	1	1	3	1	1	3	1	0	5	1	0	1
OTU_100678_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_100679_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_100681_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_100687_16S	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_10069_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
