i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_10001_ITS	1	2	0	0	1	2	0	0	4	2	2	0	1	1	2	2
OTU_10026_ITS	3	5	8	4	2	0	5	6	2	5	3	5	2	2	5	6
OTU_10027_ITS	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	3
OTU_10028_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10029_ITS	56	23	4	6	14	27	22	20	12	12	4	16	17	27	21	14
OTU_10032_ITS	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2
OTU_10039_ITS	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_10045_ITS	0	2	1	0	1	0	1	0	0	0	0	0	1	0	1	0
OTU_10048_ITS	0	1	1	3	1	3	2	0	0	3	1	0	0	5	3	1
OTU_10057_ITS	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
OTU_10062_ITS	6	6	1	5	6	2	7	4	5	4	2	9	4	4	3	2
OTU_10065_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10066_ITS	0	0	4	0	5	0	2	0	0	0	0	0	0	1	0	0
OTU_10067_ITS	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1
OTU_10068_ITS	3	0	0	1	2	0	0	7	2	0	0	2	0	0	0	0
OTU_10069_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10070_ITS	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
OTU_10071_ITS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10072_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_10073_ITS	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0
OTU_10077_ITS	3	1	0	1	2	0	1	0	1	1	1	0	0	0	0	1
OTU_10084_ITS	12	10	8	12	11	13	9	5	6	10	14	6	4	7	13	6
OTU_10085_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10086_ITS	0	1	0	1	4	1	0	0	3	0	1	2	3	1	1	1
OTU_10087_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10092_ITS	1	0	2	2	4	4	0	2	0	2	1	0	2	1	1	2
OTU_10095_ITS	6	0	0	2	0	0	0	0	0	1	0	2	1	0	1	0
OTU_10099_ITS	0	0	0	2	0	0	1	1	2	0	0	0	0	2	2	0
OTU_10104_ITS	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
OTU_10115_ITS	0	0	0	2	3	2	1	0	0	0	1	0	3	2	2	0
OTU_10120_ITS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10121_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_10126_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10131_ITS	12	2	4	0	1	5	1	6	6	6	1	7	3	0	2	1
OTU_10134_ITS	0	1	1	1	3	1	1	3	0	1	1	2	0	2	3	0
OTU_10137_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10138_ITS	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_10148_ITS	4	1	4	6	9	3	8	4	3	4	7	5	3	5	4	3
OTU_10156_ITS	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
OTU_10166_ITS	0	0	10	3	0	0	64	0	0	3	0	0	0	0	0	0
OTU_10169_ITS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_10174_ITS	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_10176_ITS	18	24	8	17	23	7	16	9	25	17	17	14	16	13	27	23
OTU_10177_ITS	13	16	4	16	20	15	13	17	7	13	21	11	10	3	17	19
OTU_10178_ITS	2	0	0	0	3	2	5	3	0	2	2	0	1	6	1	6
OTU_10182_ITS	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0
OTU_10192_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10194_ITS	0	2	1	19	10	7	3	2	5	4	4	0	6	0	0	1
OTU_10197_ITS	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_10205_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10206_ITS	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10210_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10211_ITS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10216_ITS	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0
OTU_1022_ITS	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	3
OTU_10224_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10228_ITS	0	0	0	0	0	1	3	4	0	0	0	0	0	1	0	0
OTU_10233_ITS	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10234_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_10235_ITS	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_10236_ITS	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU_10242_ITS	3	0	3	1	2	1	2	3	0	8	2	4	6	1	2	6
OTU_10249_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_10254_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10258_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_10259_ITS	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU_10260_ITS	12	1	0	4	13	3	2	2	5	5	2	5	8	8	2	5
OTU_10266_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_10267_ITS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_10279_ITS	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
OTU_10280_ITS	6	4	4	4	5	6	8	5	4	7	6	6	4	9	7	7
OTU_10283_ITS	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU_10295_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10297_ITS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10298_ITS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10300_ITS	6	3	2	7	7	8	4	6	7	9	5	3	8	4	3	5
OTU_10303_ITS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10305_ITS	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0
OTU_10306_ITS	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU_10308_ITS	8	6	7	10	9	10	12	6	7	5	4	4	2	6	11	4
OTU_10333_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_10342_ITS	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU_10343_ITS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_10348_ITS	0	2	0	0	0	2	1	0	1	0	0	1	0	1	1	4
OTU_10354_ITS	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0
OTU_10355_ITS	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_10367_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10368_ITS	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_10380_ITS	4	2	0	1	0	1	0	0	4	2	0	0	1	2	1	1
OTU_10386_ITS	0	0	0	0	0	0	2	3	1	0	0	0	1	2	0	1
OTU_10387_ITS	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
OTU_10392_ITS	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0
OTU_10394_ITS	6	7	6	10	11	5	8	6	16	8	3	14	5	6	14	3
OTU_10404_ITS	1	0	0	2	0	1	0	0	4	1	0	1	1	0	0	0
OTU_10429_ITS	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	2
OTU_10441_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_10454_ITS	16	23	36	31	16	16	19	21	33	23	27	24	25	29	26	26
OTU_10466_ITS	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	2
OTU_10467_ITS	0	3	0	6	5	0	0	0	0	0	0	1	0	1	1	0
OTU_10468_ITS	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	1
OTU_10469_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10472_ITS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_10473_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10474_ITS	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2
OTU_10477_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_10482_ITS	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1
OTU_10486_ITS	2	3	0	1	4	2	3	5	3	7	6	7	5	5	4	5
OTU_10497_ITS	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0
OTU_10498_ITS	1	1	1	3	1	1	2	3	1	0	2	5	1	3	3	2
OTU_10499_ITS	1	0	3	1	1	0	0	0	1	0	0	0	1	2	0	1
OTU_10501_ITS	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0
OTU_10506_ITS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_10518_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_10536_ITS	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10537_ITS	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
OTU_10538_ITS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10541_ITS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10550_ITS	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU_10552_ITS	6	4	4	4	2	1	1	3	3	5	5	5	6	3	5	4
OTU_10557_ITS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_10564_ITS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_1058_ITS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10583_ITS	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0
OTU_10596_ITS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_10608_ITS	17	17	5	9	8	3	3	6	21	16	7	11	6	8	6	12
OTU_10610_ITS	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_10622_ITS	1	1	0	1	0	2	0	0	0	1	0	1	0	2	0	1
OTU_10624_ITS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_10629_ITS	1	1	0	2	0	0	0	0	1	2	0	2	0	0	0	1
OTU_10667_ITS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
